VivadoVersion,FpgaPart,TopModule,TargetClk,EstimatedClk,BestLatency,WorstLatency,IIntervalMin,IIntevalMax,ResourceBram,ResourceDsp,ResourceFf,ResourceLut,GitRevision,Arch,Model,ReuseFactor,ExecutionTime
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,1,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,2,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,4,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,5,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,8,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,10,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,16,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,20,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,25,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,32,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,40,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,50,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,64,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,80,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,100,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,125,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,160,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,200,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,250,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,320,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,400,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,500,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,625,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,800,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,1000,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,1250,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,1600,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,2000,?
?,?,?,?,?,?,?,?,?,?,?,?,?,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,2500,?
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,24140,24146,4000,4000,147,77,168960,265203,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,4000,?
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,30132,30138,5000,5000,147,61,162436,272619,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,5000,9386.91
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,48120,48126,8000,8000,131,37,153624,238361,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,8000,7547.95
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,60112,60118,10000,10000,127,29,150284,243241,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,10000,6693.39
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,120104,120110,20000,20000,95,13,144224,225907,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,20000,5820.29
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,240032,240038,40000,40000,27,1,126008,215913,da5d0d3,solution1,KERAS_dense_16x200x200x200x200x200x5,40000,5676.81
