VivadoVersion,FpgaPart,TopModule,TargetClk,EstimatedClk,BestLatency,WorstLatency,IIntervalMin,IIntevalMax,ResourceBram,ResourceDsp,ResourceFf,ResourceLut,GitRevision,Arch,Model,ReuseFactor,ExecutionTime
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,76,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,77,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,78,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,79,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,80,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,81,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,82,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,83,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,84,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,85,9008.29
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,86,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,87,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,88,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,89,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,90,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,91,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,92,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,93,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,94,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,95,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,96,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,97,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,98,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,99,?
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,213,215,100,100,368,200,37352,124095,0619978,solution1,2layer_100x100,100,284.03
2018.3,xcku115-flvb2104-2-i,myproject,5.00,4.375,20216,20218,10100,10100,368,200,43469,869705,0619978,solution1,2layer_100x100,101,457.72
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,102,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,103,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,104,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,105,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,106,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,107,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,108,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,109,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,110,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,111,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,112,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,113,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,114,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,115,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,116,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,117,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,118,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,119,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,120,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,121,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,122,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,123,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,124,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,125,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,126,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,127,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,128,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,129,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,130,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,131,?
