Model,ReuseFactor,VivadoHlsExitVal,VivadoExitVal,TotalExecutionTime,Timeout,TopModule,Arch,VivadoVersion,FpgaPart,GitRevision,VivadoHlsTargetClk,VivadoHlsEstimatedClk,VivadoHlsBestLatency,VivadoHlsWorstLatency,VivadoHlsIIntervalMin,VivadoHlsIIntevalMax,VivadoHlsResourceBram,VivadoHlsResourceDsp,VivadoHlsResourceFf,VivadoHlsResourceLut,VivadoClk,VivadoResourceBram,VivadoResourceDsp,VivadoResourceFf,VivadoResourceLut,VivadoHlsExecutionTime,VivadoExecutionTime
KERAS_dense_16x500x500x500x500x500x5,1,1,1,13088.749,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,2,1,1,13213.910,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,4,1,1,13526.958,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,5,1,1,13816.314,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,8,1,1,13133.683,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,10,1,1,13333.902,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,16,0,0,14694.842,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,21,22,16,16,222,499,46025,19343,1.653,0,0,38,49,14381,279
KERAS_dense_16x500x500x500x500x500x5,20,1,1,13320.490,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,25,-1,1,50401.226,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,40,0,0,14452.810,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,46,47,40,40,89,199,20225,23978,1.751,0,0,43,56,14161,259
KERAS_dense_16x500x500x500x500x500x5,50,-1,1,50401.556,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,80,0,0,14373.318,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,85,86,80,80,45,20,5269,7795,1.859,0,0,44,57,14083,258
KERAS_dense_16x500x500x500x500x500x5,100,1,1,39477.150,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,125,1,1,29872.733,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,200,0,0,12498.274,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,205,206,200,200,18,39,5149,9692,1.886,0,0,46,60,12204,262
KERAS_dense_16x500x500x500x500x500x5,250,1,1,16404.851,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,400,0,0,12463.362,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,404,405,400,400,9,1,1779,4134,1.828,0,0,47,62,12170,259
KERAS_dense_16x500x500x500x500x500x5,500,-1,1,50400.595,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,625,-1,1,50400.889,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
