Model,ReuseFactor,VivadoHlsExitVal,VivadoExitVal,TotalExecutionTime,Timeout,TopModule,Arch,VivadoVersion,FpgaPart,GitRevision,VivadoHlsTargetClk,VivadoHlsEstimatedClk,VivadoHlsBestLatency,VivadoHlsWorstLatency,VivadoHlsIIntervalMin,VivadoHlsIIntevalMax,VivadoHlsResourceBram,VivadoHlsResourceDsp,VivadoHlsResourceFf,VivadoHlsResourceLut,VivadoClk,VivadoResourceBram,VivadoResourceDsp,VivadoResourceFf,VivadoResourceLut,VivadoHlsExecutionTime,VivadoExecutionTime
KERAS_dense_16x500x500x500x500x500x5,1000,-1,1,50400.529,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,1250,-1,1,50400.939,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,2000,-1,1,50400.924,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,2500,-1,1,50400.937,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
KERAS_dense_16x500x500x500x500x500x5,3125,0,0,49016.354,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,18885,18891,3125,3125,1011,630,325309,288140,3.536,209,102,70429,86045,46951,2017
KERAS_dense_16x500x500x500x500x500x5,5000,0,0,37084.079,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,30106,30112,5000,5000,889,40,38632,59827,3.402,173,38,43913,45189,36086,948
KERAS_dense_16x500x500x500x500x500x5,6250,0,0,38541.887,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,37610,37616,6250,6250,921,316,163510,147030,3.641,141,30,37733,37707,37456,1042
KERAS_dense_16x500x500x500x500x500x5,10000,0,0,38164.139,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,50100,50105,10000,10000,874,13,17902,30023,2.967,138,13,23114,22877,37444,677
KERAS_dense_16x500x500x500x500x500x5,12500,0,0,38417.743,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,62600,62605,12500,12500,870,5,12642,23964,2.867,74,5,18760,18036,37788,588
KERAS_dense_16x500x500x500x500x500x5,15625,0,0,36426.241,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,78237,78242,15625,15625,846,121,65629,62065,2.859,74,5,15658,14198,35683,703
KERAS_dense_16x500x500x500x500x500x5,25000,0,0,35291.962,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,125100,125105,25000,25000,802,5,7768,15648,2.726,138,5,11111,10607,34739,511
KERAS_dense_16x500x500x500x500x500x5,31250,0,0,34816.115,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,156354,156359,31250,31250,794,57,32475,33206,2.749,138,5,9577,8965,34199,575
KERAS_dense_16x500x500x500x500x500x5,50000,0,0,37026.242,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,250100,250105,50000,50000,726,5,5354,11503,2.720,266,5,7327,6885,36457,529
KERAS_dense_16x500x500x500x500x500x5,62500,0,0,37920.015,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,312600,312605,62500,62500,690,5,4862,10543,2.596,266,5,6242,5943,37363,515
KERAS_dense_16x500x500x500x500x500x5,125000,0,0,50374.847,50400,myproject,solution1,2018.2,xcku115-flvb2104-2-i,e65da0c,5.00,4.375,625096,625101,125000,125000,506,5,3920,9020,2.720,522,5,4835,4582,49716,617
KERAS_dense_16x500x500x500x500x500x5,250000,-1,1,50400.322,50400,?,solution1,?,?,e65da0c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
