Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1556332626.448	 13088.749	0	238	1	0	run_hls4ml_vivado 1
5	:	1556332626.462	 13133.683	0	238	1	0	run_hls4ml_vivado 8
2	:	1556332626.451	 13213.910	0	238	1	0	run_hls4ml_vivado 2
8	:	1556332626.472	 13320.490	0	240	1	0	run_hls4ml_vivado 20
6	:	1556332626.466	 13333.902	0	240	1	0	run_hls4ml_vivado 10
3	:	1556332626.455	 13526.958	0	238	1	0	run_hls4ml_vivado 4
4	:	1556332626.459	 13816.314	0	238	1	0	run_hls4ml_vivado 5
12	:	1556332626.505	 14373.318	0	72	0	0	run_hls4ml_vivado 80
10	:	1556332626.489	 14452.810	0	72	0	0	run_hls4ml_vivado 40
7	:	1556332626.469	 14694.842	0	72	0	0	run_hls4ml_vivado 16
15	:	1556345840.366	 12498.274	0	73	0	0	run_hls4ml_vivado 200
17	:	1556345960.374	 12463.362	0	73	0	0	run_hls4ml_vivado 400
16	:	1556345946.967	 16404.851	0	242	1	0	run_hls4ml_vivado 250
14	:	1556345760.150	 29872.733	0	242	1	0	run_hls4ml_vivado 125
9	:	1556332626.480	 50401.226	0	72	-1	15	run_hls4ml_vivado 25
11	:	1556332626.495	 50401.556	0	72	-1	15	run_hls4ml_vivado 50
13	:	1556345715.202	 39477.150	0	242	1	0	run_hls4ml_vivado 100
18	:	1556346153.418	 50400.595	0	73	-1	15	run_hls4ml_vivado 500
19	:	1556346442.778	 50400.889	0	73	-1	15	run_hls4ml_vivado 625
20	:	1556346999.829	 50400.529	0	74	-1	15	run_hls4ml_vivado 1000
21	:	1556347079.305	 50400.939	0	74	-1	15	run_hls4ml_vivado 1250
22	:	1556347321.316	 50400.924	0	74	-1	15	run_hls4ml_vivado 2000
25	:	1556362351.824	 37084.079	0	74	0	0	run_hls4ml_vivado 5000
24	:	1556358423.742	 49016.354	0	74	0	0	run_hls4ml_vivado 3125
23	:	1556358338.646	 50400.937	0	74	-1	15	run_hls4ml_vivado 2500
26	:	1556375632.889	 38541.887	0	74	0	0	run_hls4ml_vivado 6250
27	:	1556383027.712	 38164.139	0	75	0	0	run_hls4ml_vivado 10000
28	:	1556383028.056	 38417.743	0	75	0	0	run_hls4ml_vivado 12500
29	:	1556385192.357	 36426.241	0	75	0	0	run_hls4ml_vivado 15625
31	:	1556396843.676	 34816.115	0	75	0	0	run_hls4ml_vivado 31250
30	:	1556396554.018	 35291.962	0	75	0	0	run_hls4ml_vivado 25000
32	:	1556397400.363	 37026.242	0	75	0	0	run_hls4ml_vivado 50000
33	:	1556397480.251	 37920.015	0	75	0	0	run_hls4ml_vivado 62500
34	:	1556397722.264	 50374.847	0	76	0	0	run_hls4ml_vivado 125000
35	:	1556399435.908	 50400.322	0	76	-1	15	run_hls4ml_vivado 250000
